,abv,ibu,name,style,brewery_id,ounces
2047,0.075,77.0,Grapefruit Jungle (GFJ),American IPA,25,16.0
2048,0.056,50.0,Osiris Pale Ale,American Pale Ale (APA),25,16.0
2049,0.099,75.0,Bourbon Barrel Aged Timmie,Russian Imperial Stout,25,16.0
2050,0.063,23.0,Stupid Sexy Flanders,Flanders Oud Bruin,25,16.0
2053,0.071,27.0,Ring of Dingle,Irish Dry Stout,25,16.0
2054,0.054000000000000006,23.0,Bourbon Barrel Wee Mac,Scottish Ale,25,16.0
2055,0.099,60.0,Bourbon Barrel Johan,English Barleywine,25,16.0
2057,0.09,24.0,The Velvet Fog,Quadrupel (Quad),25,16.0
2058,0.055,23.0,Sun King Oktoberfest,Märzen / Oktoberfest,25,16.0
2059,0.052000000000000005,24.0,Indianapolis Indians Lager,Dortmunder / Export Lager,25,16.0
2060,0.052000000000000005,24.0,Indians Victory Lager (2012),Dortmunder / Export Lager,25,16.0
2062,0.091,91.0,Isis,American Double / Imperial IPA,25,16.0
2063,0.09,30.0,Wee Muckle (2011),Scotch Ale / Wee Heavy,25,16.0
2064,0.075,77.0,Grapefruit Jungle (GFJ) (2011),American IPA,25,16.0
2065,0.055,23.0,Sun King Oktoberfest (2011),Märzen / Oktoberfest,25,16.0
2066,0.099,60.0,Johan the Barleywine,English Barleywine,25,16.0
2067,0.054000000000000006,23.0,Wee Mac Scottish-Style Ale,Scottish Ale,25,16.0
2068,0.053,20.0,Sunlight Cream Ale,Cream Ale,25,16.0
2069,0.056,50.0,Osiris Pale Ale (2010),American Pale Ale (APA),25,16.0
2074,0.099,85.0,BLAKKR,American Black Ale,61,16.0
2075,0.073,69.0,Overrated! West Coast Style IPA,American IPA,61,16.0
2076,0.075,90.0,WET,American IPA,61,16.0
2077,0.04,37.0,Bitter Brewer,English Bitter,61,16.0
2078,0.055,34.0,SurlyFest,Rye Beer,61,16.0
2079,0.051,45.0,Coffee Bender,American Brown Ale,61,16.0
2080,0.051,45.0,Bender,American Brown Ale,61,16.0
2081,0.097,120.0,Abrasive Ale,American Double / Imperial IPA,61,16.0
2082,0.051,20.0,Hell,Keller Bier / Zwickel Bier,61,16.0
2083,0.067,33.0,CynicAle,Saison / Farmhouse Ale,61,16.0
2084,0.062,99.0,Furious,American IPA,61,16.0
2085,0.073,50.0,Big Nose,American IPA,447,12.0
2086,0.05,10.0,Cotton Mouth,Witbier,447,12.0
2087,0.056,35.0,Stump Knocker Pale Ale,American Pale Ale (APA),447,12.0
2088,0.05,38.0,Midnight Oil,Oatmeal Stout,447,12.0
2089,0.059,18.0,Wild Night,Cream Ale,447,12.0
2091,0.055,35.0,Take Two Pils,German Pilsener,49,12.0
2095,0.08,95.0,Dodgy Knight Imperial IPA,American Double / Imperial IPA,449,12.0
2097,0.05,44.0,TailGate IPA,American IPA,449,24.0
2098,0.05,44.0,TailGate IPA,American IPA,449,12.0
2099,0.049,28.0,TailGate Hefeweizen,Hefeweizen,449,24.0
2100,0.05,19.0,Blacktop Blonde,American Blonde Ale,449,24.0
2101,0.05,19.0,Blacktop Blonde,American Blonde Ale,449,12.0
2102,0.049,28.0,TailGate Hefeweizen,Hefeweizen,449,12.0
2103,0.085,34.0,Wooden Rooster,Tripel,45,16.9
2104,0.048,20.0,Ginger Peach Saison,Saison / Farmhouse Ale,45,16.0
2105,0.062,35.0,Zombie Monkie,American Porter,45,16.0
