,abv,ibu,name,style,brewery_id,ounces
1087,0.058,60,Rise Up Red,American Amber / Red Ale,80,16
1088,0.058,35,Survival Stout,American Stout,80,16
1089,0.066,75,Hopworks IPA,American IPA,80,16
1090,0.073,70,Abominable Winter Ale,American Strong Ale,80,16
1091,0.06,60,Pigwar White India Pale Ale,American White IPA,80,16
1092,0.058,60,Rise-Up Red (2014),American Amber / Red Ale,80,16
1093,0.073,70,Abominable Winter Ale (2012),American Strong Ale,80,16
1094,0.051,32,HUB Lager,Czech Pilsener,80,16
1095,0.066,75,Hopworks IPA (2012),American IPA,80,16
1097,0.051,17,Laka Laka Pineapple,Hefeweizen,120,12
1101,0.068,90,Let It Ride IPA,American IPA,277,12
1102,0.065,22,Stir Crazy Winter Ale,Winter Warmer,277,12
1103,0.05,10,Sweet Yamma Jamma Ale,Fruit / Vegetable Beer,277,12
1104,0.046,27,Shenanigans Summer Ale,American Pale Wheat Ale,277,12
1105,0.065,80,Midnight Ryder,American Black Ale,277,12
1106,0.054,45,Day Tripper Pale Ale,American Pale Ale (APA),277,12
1107,0.048,32,Oklahoma Suks,American Amber / Red Ale,140,12
1108,0.055,42,Power & Light,American Pale Ale (APA),140,12
1109,0.059,27,White Rabbit ,Witbier,140,12
1110,0.058,58,Tribute,American Pale Ale (APA),23,12
1111,0.07,75,Infamous IPA,American IPA,242,12
1112,0.055,20,Hijack,Cream Ale,242,12
1113,0.045,20,Jon Boat Coastal Ale,American Blonde Ale,527,12
1114,0.068,55,I-10 IPA,American IPA,527,12
1115,0.053,28,People's Pale Ale,American Pale Ale (APA),527,12
1118,0.052,18,House Lager,Keller Bier / Zwickel Bier,2,16
1119,0.048,15,Leisure Time,American Pale Lager,2,12
1120,0.072,80,Excess IPL,American India Pale Lager,2,16
1121,0.067,65,Hoponius Union,American India Pale Lager,2,12
1122,0.049,45,Calyptra,American India Pale Lager,2,12
1125,0.055,37,Thunder Ann,American Pale Ale (APA),312,12
1138,0.05,15,Weize Guy,Hefeweizen,233,12
1139,0.05,50,Fox Tail Gluten Free Ale,American Pale Ale (APA),233,12
1140,0.093,90,Hop Box Imperial IPA,American Double / Imperial IPA,233,12
1141,0.052,15,Joseph James American Lager,American Adjunct Lager,233,12
1143,0.075,24,Lewbricator Wheat Dopplebock ,Doppelbock,208,12
1144,0.052,16,Weisse Versa (2012),Hefeweizen,125,12
1145,0.058,25,Mother in Lager,Munich Dunkel Lager,125,12
1146,0.055,40,Weekend Warrior Pale Ale,American Pale Ale (APA),125,12
1147,0.055,25,Karbachtoberfest,MArzen / Oktoberfest,125,12
1148,0.047,20,Love Street Summer Seasonal (2014),Kolsch,125,12
1149,0.066,20,Barn Burner Saison,Saison / Farmhouse Ale,125,12
1150,0.095,85,Rodeo Clown Double IPA,American Double / Imperial IPA,125,12
1151,0.049,45,Sympathy for the Lager,American Amber / Red Lager,125,12
1152,0.052,15,Weisse Versa,Hefeweizen,125,12
1153,0.066,70,Hopadillo India Pale Ale,American IPA,125,12
1154,0.057,19,KelSo Nut Brown Lager,Euro Dark Lager,342,12
1155,0.06,64,KelSo India Pale Ale,American IPA,342,12
1156,0.055,23,KelSo Pilsner,Czech Pilsener,342,12
1158,0.05,15,Peninsula Brewers Reserve (PBR),American Blonde Ale,458,12
1161,0.065,11,Cold Smoke Scotch Ale (2007),Scotch Ale / Wee Heavy,510,16
1162,0.065,65,Double Haul IPA (2009),American IPA,510,16
1163,0.065,65,Double Haul IPA (2006),American IPA,510,16
1164,0.055,50,Eddy Out Pale Ale,American Pale Ale (APA),510,16
1165,0.065,65,Double Haul IPA,American IPA,510,16
1166,0.065,11,Cold Smoke Scotch Ale,Scotch Ale / Wee Heavy,510,16
1176,0.06,70,King Street IPA,American IPA,102,12
1177,0.057,10,King Street Hefeweizen,Hefeweizen,102,12
1179,0.063,65,India Pale Ale,American IPA,87,16
1180,0.048,11,Blackberry Wheat,American Pale Wheat Ale,87,16
1181,0.046,18,Longboard Island Lager,American Amber / Red Lager,439,24
1182,0.046,18,Longboard Island Lager,American Amber / Red Lager,439,16
1183,0.046,18,Longboard Island Lager,American Amber / Red Lager,439,12
1184,0.046,18,Longboard Island Lager,American Amber / Red Lager,439,12
1185,0.04,9,Choc Beer (2003),American Dark Wheat Ale,505,12
1187,0.054,15,A Slice of Hefen,Hefeweizen,332,16
1188,0.072,100,Elevated IPA,American IPA,332,16
1189,0.066,30,Rumspringa Golden Bock,Maibock / Helles Bock,545,12
1190,0.048,28,Lancaster German Style Kolsch,Kolsch,545,12
1195,0.05,12,Laughing Dog Cream Ale,Cream Ale,218,12
1196,0.048,9,Two-One Niner,American Pilsner,218,12
1197,0.064,66,Laughing Dog IPA,American IPA,218,12
1198,0.064,95,Madra Allta,American IPA,345,12
1199,0.056,70,Duluchan India Pale Ale,American IPA,345,12
1206,0.052,30,Getaway,German Pilsener,244,16
1207,0.06,30,Farm Girl Saison,Saison / Farmhouse Ale,244,16
1208,0.058,40,Adam's Stout,American Stout,298,12
1209,0.057,42,American Hero,American Amber / Red Ale,298,12
1210,0.052,20,Schweet Ale,Fruit / Vegetable Beer,298,12
1211,0.065,75,Irregardless IPA,American IPA,298,12
1212,0.057,40,Peach Pale Ale,American Pale Ale (APA),104,12
1215,0.057,47,Peacemaker Pale Ale,American Pale Ale (APA),149,12
1216,0.058,11,Shotgun Betty,Hefeweizen,149,12
1217,0.061,30,Sweet Josie,American Brown Ale,149,12
1218,0.059,42,Long Trail IPA,English India Pale Ale (IPA),268,12
1219,0.046,30,Long Trail Ale,American Amber / Red Ale,268,12
1220,0.072,33,Double Bag,Altbier,268,16
1221,0.04,8,Blackbeary Wheat,Fruit / Vegetable Beer,268,12
1222,0.046,30,Long Trail Ale (1),Altbier,268,12
1223,0.046,8,Gose,Gose,41,16
1224,0.048,20,Vermont Pilsner,German Pilsener,41,16
1227,0.062,65,Face Plant IPA,American IPA,430,12
1228,0.056,55,Rhino Chasers Pilsner,Czech Pilsener,430,12
1229,0.052,29,Slow Hand Stout,American Stout,377,16
1233,0.038,18,Pub Ale,English Dark Mild Ale,245,12
